Common Name,Double,Variable,SAO #,RA (hr),RA (min),Dec Deg,Dec Amin,Mag,Const,Sep,Description
,,,68529,19,34.9,33,47.7,6.7,,,
,,,68541,19,35.4,34,41.3,7,,,
,,,68542,19,35.5,31,16.6,7.6,,,
,,,68549,19,35.6,40,1.7,7.4,,,
,,,68552,19,35.8,36,56.7,5.9,,,
,,,68560,19,36.1,35,12.8,7,,,
,,,68585,19,36.9,38,23.0,6.4,,,
,,,68592,19,37.3,38,35.6,6.8,,,
,,,68596,19,37.7,35,1.4,6.7,,,
,,,68603,19,38.0,35,15.6,6.6,,,
,,,68606,19,38.3,31,45.5,7.5,,,
,,,68615,19,38.5,37,44.6,7.6,,,
,,,68617,19,38.6,32,24.3,7.5,,,
,,,68637,19,39.4,30,9.2,4.8,,,
,,,68641,19,39.5,30,24.5,7.1,,,
,HD 185837 Doolittle (C),,68654,19,39.7,33,58.7,"6.1,,11.7",Cyg,,Double Star
,,,68666,19,40.2,32,3.3,7.6,,,
,,,68679,19,40.7,31,24.4,7.1,,,
,HD 186097 ,,68695,19,41.3,30,43.3,"7.3,,10,11.2",Cyg,,Double Star
,,,68700,19,41.4,38,27.5,7.5,,,
,,,68704,19,41.7,30,48.5,6.9,,,
,,,68705,19,41.6,33,5.0,6.9,,,
,,,68708,19,41.6,40,1.3,6.8,,,
,,,68713,19,41.9,36,13.5,7.6,,,
,,,68730,19,42.7,32,25.6,5.9,,,
,,,68735,19,42.8,35,50.6,7.6,,,
,,,68736,19,42.9,35,45.0,7.4,,,
,HD 186429 ,,68737,19,42.8,37,41.2,"7.6,7.9",Cyg,Sep AB:59,Double Star
,,,68744,19,43.2,30,40.7,6.1,,,
,,,68745,19,43.2,30,13.9,7.3,,,
,,,68748,19,43.1,39,59.8,6.9,,,
,HD 186506 ,,68751,19,43.2,38,40.3,"6.4,11.1",Cyg,Sep AB:25,Double Star
,HD 186568 ,,68764,19,43.8,34,9.8,"6,12.5,11.5",Cyg,"Sep AB:15, Sep AC:34",Double Star
,,,68766,19,43.7,39,44.5,7.2,,,
,HD 186605 ,,68767,19,43.8,38,19.3,"7.2,7.9",Cyg,Sep AB:1,Double Star
,,,68778,19,44.3,37,21.2,5,,,
,,,68783,19,44.6,34,24.8,6.8,,,
,,,68793,19,45.3,31,25.4,7.3,,,
,HD 186858 ,,68799,19,45.5,33,36.5,"7.7,9.3",Cyg,Sep AB:2.6,Double Star
,HD 186901 ,,68805,19,45.6,36,5.5,"6.4,7.2,11.4,9",Cyg,"Sep AB:15, Sep AC:46, Sep AD:143",Double Star
,,,68806,19,45.7,36,5.3,7.1,,,
,HD 186927 H V 137; Bottger,,68810,19,45.8,35,0.8,"6.1,8.5",Cyg,Sep AB:38,Double Star
,,,68818,19,46.0,35,27.1,7.7,,,
,,,68820,19,45.9,39,53.3,7.4,,,
,,,68823,19,46.3,32,7.0,7.2,,,
,HD 187013 17 Cyg,,68827,19,46.4,33,44.0,"5,9.2,9",Cyg,"Sep AB:25, Sep AC:114",Double Star
,,,68835,19,46.6,32,53.3,6.2,,,
,,,68840,19,46.6,39,30.7,7.7,,,
,,,68859,19,47.5,38,24.5,5.7,,,
,,,68870,19,48.0,31,30.4,6.6,,,
,,,68880,19,48.2,37,43.5,7.2,,,
,HD 187375 ,,68884,19,48.3,37,9.6,"7.8,8.5",Cyg,Sep AB:1,Double Star
,,,68893,19,48.7,35,18.6,6.5,,,
,,,68895,19,48.8,33,26.2,6.4,,,
,,,68897,19,48.7,39,55.0,6.9,,,
,HD 187638 ,,68909,19,49.4,38,42.6,"6.1,11,11.1",Cyg,"Sep AB:12, Sep AC:23",Double Star
,,,68935,19,50.3,36,5.9,6.6,,,
,,,68943,19,50.6,32,54.9,4.2,,,
,HD 187849 19 Cyg; V1509 Cyg,,68947,19,50.6,38,43.3,"5.1,10",Cyg,Sep AB:55,Double Star
,,,68953,19,50.8,37,49.6,6.3,,,
,HD 187981 Espin 357,,68974,19,51.7,31,8.5,"7.1,12.6,9.5",Cyg,"Sep AB:9, Sep AC:12",Double Star
,,,68985,19,52.0,31,36.2,7.6,,,
,,,68987,19,52.0,31,42.4,7.5,,,
,,,69004,19,52.3,36,25.9,6.3,,,
,,,69014,19,52.8,34,11.2,7.7,,,
,,,69031,19,53.3,33,57.0,7.7,,,
,,,69040,19,53.8,34,35.0,6.8,,,
,,,69052,19,54.2,33,46.8,6.9,,,
,,,69072,19,54.8,36,59.7,5.8,,,
,,,69078,19,55.1,30,41.2,7.1,,,
,HD 188651 ,,69079,19,55.1,30,11.7,"6.5,8.9,10.6",Cyg,"Sep AB:9, Sep AC:16",Double Star
,,,69080,19,55.0,34,54.0,7.5,,,
,,,69101,19,55.9,38,29.2,4.9,,,
,,,69103,19,56.1,33,4.5,7.4,,,
,,,69106,19,56.1,33,29.6,7.7,,,
,,,69116,19,56.3,35,5.0,4,,,
,,,69119,19,56.4,35,47.4,7.5,,,
,,,69122,19,56.7,30,56.8,6.8,,,
,,,69129,19,56.7,36,15.0,6,,,
,,,69137,19,57.1,30,46.7,6.9,,,
,,,69155,19,57.5,38,27.5,6.7,,,
,,,69157,19,57.7,31,14.8,7.7,,,
,,,69166,19,57.9,38,7.3,6.9,,,
,HD 189378 ,,69186,19,58.5,33,16.6,"7.2,8.4",Cyg,Sep AB:1,Double Star
,,,69188,19,58.6,30,59.0,5.4,,,
,HD 189432 ,,69193,19,58.6,38,6.3,"6.3,7.7",Cyg,Sep AB:2,Double Star
,,,69199,19,58.8,35,29.8,6.8,,,
,,,69219,19,59.6,32,53.7,7.6,,,
,HD 189613 ,,69222,19,59.6,31,49.6,"6.8,9.5",Cyg,Sep AB:.9,Double Star
,,,69231,19,59.9,37,2.6,5.1,,,
,,,69234,20,0.1,32,47.4,7.2,,,
,HD 189751 ,,69238,20,0.2,36,24.8,"7,10.2",Cyg,Sep AB:12,Double Star
,,,69249,20,0.5,39,12.4,7.5,,,
,HD 189864 ,,69252,20,0.7,36,35.4,"6.7,8.8,11.1",Cyg,"Sep AB:71, Sep AC:82",Double Star
,,,69254,20,1.0,31,13.8,6.7,,,
,,,69267,20,1.2,37,5.9,6.4,,,
,,,69283,20,1.9,31,7.1,6.6,,,
,,,69286,20,2.0,35,20.0,7.4,,,
,,,69307,20,2.8,31,57.5,6.5,,,
,,,69310,20,2.8,37,48.8,7.2,,,
,HD 190429 ,,69324,20,3.5,36,1.5,"6.6,7.8,9.1,11",Cyg,"Sep AB:2, Sep AC:43, Sep AD:29",Double Star
,HD 190466 ,,69335,20,3.6,38,19.6,"7.2,9.6",Cyg,Sep AB:29,Double Star
,,,69343,20,4.2,31,14.6,6.9,,,
,,,69353,20,4.4,33,33.1,7.5,,,
,HD 190603 V1768 Cyg,,69362,20,4.6,32,13.1,"5.6,10.4",Cyg,Sep AB:31,Double Star
,,,69377,20,5.1,38,28.6,6.6,,,
,,,69399,20,5.9,35,40.3,7,,,
,,,69402,20,6.0,35,47.3,7,,,
,HD 191026 27 Cyg,,69413,20,6.4,35,58.7,"5.5,9.5,11.6",Cyg,"Sep AB:12, Sep AC:36",Double Star
,,,69417,20,6.4,39,5.9,7,,,
,,,69421,20,6.6,35,7.9,7.5,,,
,,,69438,20,7.1,36,49.6,6.9,,,
,,,69446,20,7.4,35,43.1,7.7,,,
,,,69449,20,7.4,36,34.1,7.7,,,
,,,69457,20,7.7,34,25.4,6.1,,,
,"HD 191292 h1483 (C, D)",,69467,20,8.0,32,35.2,"7.7,11.3,9.5,12",Cyg,"Sep AB:11.6, Sep AC:47, Sep AD:72",Double Star
,,,69476,20,8.2,36,40.3,7.4,,,
,,,69496,20,8.8,36,8.9,7.3,,,
,,,69502,20,8.8,39,47.9,7.3,,,
,,,69505,20,9.0,33,11.2,7.7,,,
,,,69509,20,9.2,33,55.2,7.5,,,
,HD 191566 ,,69512,20,9.2,35,29.0,"7.4,8.7",Cyg,Sep AB:6,Double Star
,,,69518,20,9.4,36,50.4,4.8,,,
,,,69522,20,9.5,33,40.9,7.3,,,
,,,69530,20,9.8,39,8.2,7.3,,,
,,,69562,20,10.9,30,47.4,6.7,,,
,,,69566,20,11.1,32,17.2,7.5,,,
,,,69581,20,11.6,38,52.8,7.4,,,
,HD 192124 ,,69588,20,12.0,34,28.7,"7.2,12.2,11.7",Cyg,"Sep AB:23, Sep AC:43",Double Star
,,,69592,20,12.1,38,21.3,7.4,,,
,HD 192182 ,,69597,20,12.2,38,26.6,"7.2,10.6",Cyg,Sep AB:14,Double Star
,,,69608,20,12.7,35,10.7,7.4,,,
,,,69628,20,13.3,35,36.0,7.1,,,
,,,69635,20,13.4,38,45.9,7.1,,,
,,,69636,20,13.4,38,43.7,6.8,,,
,,,69639,20,13.5,36,19.7,7.1,,,
,,,69649,20,13.9,39,9.5,7,,,
,,,69653,20,14.1,36,36.3,6.4,,,
,,,69659,20,14.3,31,59.9,7.4,,,
,,,69660,20,14.3,30,10.6,6.9,,,
,HD 192557 ,,69661,20,14.2,35,21.8,"7.6,10.5",Cyg,Sep AB:13,Double Star
,,,69676,20,14.5,37,21.2,7.1,,,
,HD 192640 V1644 Cyg; Kuiper 98,,69678,20,14.5,36,48.3,"5,6.6,10,10.2",Cyg,"Sep AB:215, Sep AC:216",Double Star
,,,69681,20,14.6,36,45.1,6.6,,,
,,,69685,20,14.9,32,52.1,6.7,,,
,,,69701,20,15.4,33,43.9,5.8,,,
,,,69709,20,15.7,31,14.6,7.7,,,
,,,69720,20,16.1,38,53.9,6.1,,,
,,,69725,20,16.5,37,3.4,6.3,,,
,,,69727,20,16.5,36,16.6,7,,,
,,,69735,20,16.6,35,28.1,7.4,,,
,,,69737,20,16.8,32,22.8,7.2,,,
,HD 193010 ,,69743,20,16.9,31,30.4,"6.9,9.1",Cyg,Sep AB:51,Double Star
,,,69753,20,17.0,35,57.5,7.7,,,
,,,69763,20,17.4,38,14.2,7.1,,,
,,,69764,20,17.4,39,35.6,6.6,,,
,,,69773,20,17.8,38,2.0,4.9,,,
,,,69794,20,18.4,32,6.6,7.2,,,
,,,69803,20,18.5,36,60.0,5.5,,,
,,,69806,20,18.6,34,59.0,5.2,,,
,,,69815,20,18.9,38,16.8,7.2,,,
,,,69820,20,19.0,39,0.3,6.7,,,
,,,69825,20,19.1,38,9.7,7.2,,,
,,,69826,20,19.1,39,16.4,7,,,
,,,69830,20,19.5,32,2.8,7.3,,,
,,,69841,20,19.8,37,8.0,6.5,,,
,,,69844,20,19.8,38,20.6,7.4,,,
,HD 193702 A1427,,69856,20,20.2,39,24.2,"6.2,9.3",Cyg,Sep AB:3,Double Star
,,,69858,20,20.5,32,1.4,7.2,,,
,,,69881,20,21.4,30,51.9,7.6,,,
,,,69888,20,21.5,30,35.4,6.8,,,
,,,69891,20,21.6,32,27.3,7.6,,,
,,,69913,20,22.2,38,5.8,7.3,,,
,,,69916,20,22.5,34,59.5,6.7,,,
,,,69917,20,22.6,31,15.9,6.2,,,
,,,69922,20,22.8,31,33.0,7.2,,,
,HD 194206 Scheiner 1107 (C),,69929,20,23.0,39,12.7,"6.7,8.6,10.7",Cyg,"Sep AB:43, Sep AC:23",Double Star
,,,69950,20,23.8,32,11.4,4.6,,,
,,,69951,20,23.7,37,28.6,5.7,,,
,,,69952,20,23.8,37,1.6,6.7,,,
,,,69986,20,24.8,40,9.2,6.9,,,
,,,69999,20,25.5,39,47.6,7.1,,,
,,,70020,20,26.2,38,51.7,7.3,,,
,,,70033,20,26.7,39,29.8,6.5,,,
,,,70036,20,27.0,30,22.2,7.4,,,
,,,70044,20,27.1,34,19.7,6.4,,,
,,,70052,20,27.4,39,43.9,7.4,,,
,,,70056,20,27.6,38,26.5,5.5,,,
,,,70063,20,28.1,33,53.3,6.9,,,
,,,70075,20,28.4,39,19.7,7.1,,,
,,,70077,20,28.5,37,47.4,7.5,,,
,,,70092,20,29.1,35,49.9,7.3,,,
,,,70095,20,29.4,30,22.1,4.1,,,
,,,70096,20,29.3,36,27.3,5.9,,,
,,,70108,20,29.8,36,58.8,7.7,,,
,,,70129,20,30.7,36,23.7,7.7,,,
,HD 195593 44 Cyg,,70135,20,31.0,36,56.2,"6.2,11.2,12.2",Cyg,"Sep AB:3, Sep AC:63",Double Star
,,,70147,20,31.5,33,5.9,7.1,,,
,,,70152,20,31.4,39,56.3,7.3,,,
,,,70153,20,31.6,34,19.9,6.5,,,
,,,70154,20,31.7,30,15.7,7.3,,,
,,,70181,20,33.1,31,39.4,7.6,,,
,HD 195992 ,,70189,20,33.3,33,23.3,"8.2,12.9,11.7,11.1",Cyg,"Sep AB:17, Sep AC:19, Sep AD:34",Double Star
,,,70194,20,33.5,32,54.5,7.5,,,
,,,70203,20,33.9,35,15.1,4.9,,,
,,,70206,20,34.0,34,40.8,6.6,,,
,,,70214,20,34.4,37,51.0,7.2,,,
,HD 196197 ,,70220,20,34.7,32,30.4,"6.9,9.4",Cyg,Sep AB:24,Double Star
,,,70232,20,35.1,30,15.2,7.7,,,
,HD 196344 ,,70241,20,35.6,35,10.2,"8.5,8.9",Cyg,Sep AB:3.3,Double Star
,,,70268,20,37.0,32,21.1,7.1,,,
,,,70273,20,37.1,36,35.1,7,,,
,,,70282,20,37.5,32,3.3,7.5,,,
,,,70286,20,37.4,38,5.9,6.9,,,
,HD 196606 48 Cyg,,70287,20,37.5,31,34.4,"6.3,6.5",Cyg,Sep AB:181,Double Star
,,,70288,20,37.4,38,19.8,6.3,,,
,,,70289,20,37.5,31,31.3,6.4,,,
,,,70299,20,37.6,37,55.7,7.4,,,
,,,70300,20,37.7,33,22.0,7.4,,,
,,,70311,20,38.1,30,34.7,7.5,,,
,,,70321,20,38.6,38,38.3,6.8,,,
,,,70323,20,39.0,30,20.1,5.9,,,
,,,70333,20,39.6,30,48.9,7.5,,,
,,,70343,20,39.9,35,23.4,6.9,,,
,,,70358,20,40.8,35,2.4,7.5,,,
,HD 197177 49 Cyg,,70362,20,41.0,32,18.4,"5.7,7.8,11.8",Cyg,"Sep AB:3, Sep AC:68",Double Star
,HD 197226 ,,70367,20,41.0,39,4.9,"6.5,10.5",Cyg,Sep AB:48,Double Star
,,,70370,20,41.3,31,15.0,7.5,,,
,,,70379,20,41.5,35,54.7,7.7,,,
,,,70384,20,41.7,35,32.7,7.3,,,
,,,70395,20,42.0,31,18.7,7,,,
,,,70406,20,42.4,35,27.4,6.5,,,
,,,70423,20,43.4,35,35.3,5.7,,,
,HD 197667 ,,70435,20,43.8,39,27.6,"7.7,12.1",Cyg,Sep AB:26,Double Star
,,,70444,20,44.3,36,42.8,7.6,,,
,HD 197912 52 Cyg,,70467,20,45.7,30,43.2,"4.2,9.4",Cyg,Sep AB:6,Double Star
,,,70474,20,46.2,33,57.9,2.6,,,
,,,70480,20,46.8,32,25.2,7.2,,,
,,,70498,20,47.1,32,10.3,7.7,,,
,HD 198134 T Cyg,,70499,20,47.2,34,22.4,"4.9,9.9,11.2",Cyg,"Sep AB:10, Sep AC:14",Double Star
,HD 198183 Lambda Cyg; 54 Cyg; OS 413,,70505,20,47.4,36,29.5,"4.5,6.1,9.9",Cyg,"Sep AB:1, Sep AC:85",Double Star
,,,70517,20,48.0,39,17.3,7,,,
,,,70526,20,48.6,30,47.6,7.5,,,
,,,70539,20,49.0,38,51.9,7.6,,,
,HD 198436 Hough 596,,70541,20,49.0,39,47.5,"7.4,12.4,12.6",Cyg,"Sep AB:17, Sep AC:19",Double Star
,,,70544,20,49.2,35,33.8,6.7,,,
,,,70556,20,50.0,40,2.6,7.7,,,
,,,70559,20,50.4,31,21.2,7.7,,,
,,,70564,20,50.6,30,54.7,6.8,,,
,,,70575,20,50.9,34,45.2,6.7,,,
,,,70590,20,51.5,37,59.4,7,,,
,,,70596,20,52.0,32,50.9,6.4,,,
,,,70599,20,52.1,34,39.5,6.9,,,
,,,70612,20,52.2,39,30.1,7.5,,,
,HD 199042 ,,70633,20,53.5,30,57.1,"7.9,10.1",Cyg,Sep AB:66,Double Star
,,,70636,20,53.5,31,37.6,6.9,,,
,,,70645,20,53.9,33,26.2,5.7,,,
,,,70659,20,54.7,37,4.4,7.2,,,
,HD 199220 ,,70660,20,54.8,32,42.3,"7.5,8.2",Cyg,Sep AB:1,Double Star
,,,70663,20,54.9,33,45.8,7.4,,,
,,,70668,20,55.4,32,41.4,7.2,,,
,,,70673,20,55.7,34,1.6,7.5,,,
,HD 199374 Hussey (C),,70680,20,55.9,32,5.7,"7.7,9.9,12.8",Cyg,"Sep AB:37, Sep AC:31",Double Star
,,,70691,20,56.4,36,22.7,7.2,,,
,,,70712,20,57.2,35,18.7,6.8,,,
,,,70721,20,57.6,39,39.8,7.5,,,
,,,70732,20,58.3,30,23.7,6.6,,,
,,,70743,20,58.7,31,38.9,7.2,,,
,,,70744,20,58.7,34,43.5,7.6,,,
,,,70770,20,59.7,38,49.4,6.7,,,
,,,70771,20,60.0,32,29.8,7.2,,,
,,,70777,21,0.2,36,57.8,7.5,,,
,,,70794,21,1.2,36,1.6,6.1,,,
,HD 200370 ,,70808,21,1.8,39,15.7,"7.5,8.6",Cyg,Sep AB:1.1,Double Star
,,,70809,21,2.0,36,42.0,7.7,,,
,,,70811,21,2.2,30,31.3,7.7,,,
,,,70813,21,2.3,33,44.3,7.5,,,
,HD 200466 ,,70816,21,2.4,37,39.4,"7.7,8.5",Cyg,Sep AB:4,Double Star
,HD 200465 H IV 113,,70818,21,2.3,39,30.5,"6.5,10.6,11.8",Cyg,"Sep AB:19, Sep AC:26",Double Star
,,,70824,21,2.9,32,21.0,7.2,,,
,,,70825,21,2.8,37,9.0,7.7,,,
,,,70832,21,3.1,38,39.4,6.2,,,
,,,70845,21,3.7,31,3.7,7.5,,,
,HD 200842 ,,70876,21,4.9,35,25.8,"7.4,10.7",Cyg,Sep AB:30,Double Star
,,,70917,21,6.5,31,11.1,5.7,,,
,HD 201091 61 Cyg; The Flying Star,,70919,21,6.6,38,42.1,"5.2,6,8.6,8.1",Cyg,"Sep AB:30, Sep AC:305, Sep AD:306",Double Star
,,,70931,21,7.1,30,35.8,7.5,,,
,,,70940,21,7.3,32,30.1,7.5,,,
,,,70953,21,7.9,33,23.8,7.5,,,
,HD 201433 V389 Cyg,,70968,21,8.6,30,12.4,"5.6,7.8",Cyg,Sep AB:3.6,Double Star
,,,70971,21,8.7,33,37.3,7.2,,,
,,,70973,21,9.1,32,46.3,7.5,,,
,,,70976,21,9.1,35,2.6,7.7,,,
,HD 201561 ,,70977,21,9.1,38,43.8,"7.5,9.6",Cyg,Sep AB:112,Double Star
,,,70997,21,10.0,32,12.3,7.2,,,
,,,71015,21,10.5,36,47.8,7.7,,,
,,,71018,21,10.6,38,57.7,7.4,,,
,HD 201819 ,,71032,21,11.1,36,18.0,"6.5,12.2",Cyg,Sep AB:22,Double Star
,,,71034,21,11.3,33,8.0,7.5,,,
,,,71050,21,11.9,30,37.1,6.8,,,
,,,71058,21,12.2,40,9.0,7.5,,,
,,,71060,21,12.5,33,14.4,7.4,,,
,HD 202088 ,,71065,21,12.5,38,34.0,"7.4,11.8",Cyg,Sep AB:27,Double Star
,HD 202109 64 Cyg,,71070,21,12.9,30,13.7,"3.2,11.6,11.3,12.6",Cyg,"Sep AB:67, Sep AC:91, Sep AD:103",Double Star
,,,71071,21,12.9,30,48.5,7.5,,,
,,,71073,21,12.9,35,47.9,6.7,,,
,,,71077,21,13.3,33,41.6,7.1,,,
,,,71086,21,13.4,36,38.0,6,,,
,,,71087,21,13.4,38,24.1,7.4,,,
,,,71104,21,14.1,37,46.9,7.7,,,
,HD 202386 ,,71109,21,14.3,34,17.7,"7.4,8.1",Cyg,Sep AB:102,Double Star
,,,71113,21,14.4,39,14.6,7.4,,,
,HD 202444 Tau Cyg; 65 Cyg,,71121,21,14.8,38,2.4,"3.7,6.4,13.3",Cyg,"Sep AB:1, Sep AC:30",Double Star
,,,71131,21,15.8,32,2.7,7.3,,,
,,,71150,21,16.6,36,19.3,7.4,,,
,,,71159,21,17.4,34,25.3,7.4,,,
,,,71165,21,17.4,39,23.7,4.3,,,
,,,71168,21,17.6,33,45.5,7.7,,,
,,,71169,21,17.6,39,12.6,6.9,,,
,HD 202904 Mu Cyg; 66 Cyg; OS 433,,71173,21,17.9,34,53.8,"4.4,10,10",Cyg,"Sep AB:15, Sep AC:22",Double Star
,HD 202924 ,,71176,21,18.2,30,35.4,"8.1,11.3",Cyg,Sep AB:4,Double Star
,,,71192,21,19.0,32,10.8,7.3,,,
,HD 203112 ,,71195,21,19.0,39,45.0,"6.7,9.9",Cyg,Sep AB:25,Double Star
,,,71202,21,19.3,38,48.4,6.9,,,
,,,71203,21,19.4,38,14.2,5.8,,,
,,,71219,21,20.2,38,41.4,7.2,,,
,,,71220,21,20.3,33,29.1,6.8,,,
,HD 203358 ,,71230,21,20.8,32,27.2,"6.5,6.9,10.5",Cyg,"Sep AB:2, Sep AC:82",Double Star
,,,71232,21,20.9,40,2.0,7.4,,,
,,,71237,21,21.4,32,36.8,6,,,
,,,71253,21,22.5,33,51.7,7.7,,,
,,,71254,21,22.4,37,9.9,7.5,,,
,,,71259,21,22.7,30,18.6,6.3,,,
,,,71266,21,22.8,38,38.1,6.5,,,
,,,71267,21,22.9,38,42.5,7,,,
,,,71276,21,23.4,37,24.4,6.6,,,
,,,71278,21,23.6,40,1.1,7.2,,,
,HD 203857 ,,71280,21,23.8,37,21.1,"6.5,6.6",Cyg,Sep AB:363,Double Star
,,,71287,21,24.4,30,56.2,6.7,,,
,,,71295,21,24.4,36,59.2,7.4,,,
,,,71315,21,25.3,34,44.6,7.4,,,
,HD 204172 69 Cyg,,71329,21,25.8,36,40.1,"5.9,10.3,9",Cyg,"Sep AB:34, Sep AC:52",Double Star
,,,71337,21,26.3,35,50.4,7.7,,,
,HD 204324 ,,71348,21,26.8,37,31.1,"7.8,9.7",Cyg,Sep AB:4,Double Star
,,,71358,21,27.3,37,7.0,5.2,,,
,,,71368,21,27.9,35,24.5,7,,,
,,,71371,21,28.1,32,13.5,5.7,,,
,,,71373,21,28.5,30,13.6,7.6,,,
,,,71396,21,29.9,36,10.7,7.6,,,
,,,71397,21,29.9,32,48.6,7.6,,,
,,,71402,21,30.1,35,28.3,7.2,,,
,,,71415,21,30.8,31,57.5,6.9,,,
,,,71422,21,31.2,38,45.5,7.5,,,
,,,71423,21,31.2,35,52.4,7.4,,,
,HD 205024 ,,71424,21,31.4,40,3.9,"7.4,11.4",Cyg,Sep AB:3,Double Star
,HD 205052 ,,71430,21,31.8,33,49.0,"7.8,8.5",Cyg,Sep AB:4,Double Star
,,,71448,21,32.8,32,46.6,7.2,,,
,,,71457,21,33.3,33,48.1,7.5,,,
,,,71465,21,33.8,33,12.9,7.7,,,
,,,71480,21,34.8,38,32.0,5,,,
,,,71483,21,35.0,31,47.0,7.2,,,
,,,71484,21,34.9,39,26.1,7.6,,,
,,,71490,21,35.3,34,50.1,7.7,,,
,HD 205617 AC = STF 2808,,71494,21,35.7,31,0.6,"7.9,12,10.2",Cyg,"Sep AB:15, Sep AC:41",Double Star
,,,71514,21,36.5,33,14.1,7.5,,,
,,,71515,21,36.6,32,25.7,7.7,,,
,,,71531,21,37.4,35,19.7,7.3,,,
,,,71532,21,37.4,34,36.2,7.2,,,
,,,71538,21,37.8,39,19.0,6.7,,,
,,,71539,21,37.9,33,12.0,7.5,,,
,,,71541,21,38.1,33,7.5,7.2,,,
,,,71574,21,39.9,39,30.9,6.8,,,
,,,71579,21,40.2,36,25.9,7.5,,,
,,,71590,21,41.0,30,17.8,7.7,,,
,,,71595,21,41.0,34,40.5,7.2,,,
,,,71613,21,42.0,35,30.6,6.4,,,
,,,71615,21,42.1,37,33.1,7.7,,,
,,,71619,21,42.2,39,31.6,7.3,,,
,,,71635,21,42.9,37,54.3,6.8,,,
,,,71642,21,43.3,38,1.1,7.1,,,
,HD 206774 79 Cyg; Kuiper 109,,71643,21,43.4,38,17.0,"5.6,6.9,11",Cyg,"Sep AB:1.5, Sep AC:151",Double Star
,,,71646,21,43.6,38,18.3,6.9,,,
,,,71670,21,45.3,32,46.9,7.3,,,
,,,71673,21,45.6,33,6.9,7.4,,,
,,,71675,21,45.7,35,51.4,6.6,,,
,,,71683,21,46.5,34,16.4,7.5,,,
,,,71689,21,46.8,32,59.8,7.3,,,
,,,71691,21,46.8,37,39.5,7,,,
,,,71716,21,48.1,36,34.8,6.6,,,
,,,71718,21,48.4,32,47.8,6.8,,,
,,,71720,21,48.3,38,57.4,7.2,,,
,,,71722,21,48.5,38,38.9,5.8,,,
,,,71742,21,49.6,33,18.7,7.1,,,
,,,71747,21,49.8,34,55.0,7.5,,,
,HD 207703 Fox,,71749,21,50.1,31,50.9,"7.3,10.8,10.8",Peg,"Sep AB:3, Sep AC:37",Double Star
,HD 207702 ,,71750,21,50.1,34,49.5,"7.7,11.4",Peg,Sep AB:9,Double Star
,,,71754,21,50.5,32,39.5,6.9,,,
,,,71756,21,50.4,39,26.5,7.7,,,
,,,71767,21,51.1,39,32.2,6.2,,,
,,,71774,21,51.7,31,54.7,7.5,,,
,,,71782,21,52.0,38,57.3,7.7,,,
,,,71786,21,52.4,34,22.8,7.4,,,
,,,71793,21,52.8,38,50.2,7.3,,,
,,,71801,21,53.4,36,7.6,7.6,,,
,,,71810,21,54.0,36,34.2,7.4,,,
,,,71824,21,54.7,32,19.9,7.6,,,
,,,71825,21,54.8,32,40.4,7.2,,,
,,,71831,21,54.9,32,20.3,7.1,,,
,,,71834,21,55.0,34,46.4,7.4,,,
,,,71841,21,55.4,36,8.8,6.9,,,
,,,71844,21,55.6,34,58.6,7,,,
,,,71850,21,55.8,31,15.9,7.7,,,
,,,71856,21,56.2,33,22.0,7,,,
,,,71866,21,56.9,31,51.7,7.7,,,
,,,71905,21,59.0,32,29.0,7.5,,,
,,,71909,21,59.2,30,31.9,7.5,,,
,,,71929,22,0.3,34,37.8,6.9,,,
,,,71932,22,0.4,33,0.3,6.5,,,
,,,71937,22,0.7,31,27.0,7.2,,,
,,,71939,22,0.9,31,32.1,7.5,,,
,,,71944,22,0.9,39,31.6,7,,,
,HD 209260 ,,71949,22,1.1,39,14.8,"7.1,,10.4",Lac,,Double Star
,,,71961,22,1.9,36,56.8,7.5,,,
,,,71965,22,2.3,36,59.0,7.2,,,
,,,71967,22,2.4,34,22.7,7.7,,,
,,,71970,22,2.6,33,22.8,6.9,,,
,,,71973,22,2.8,30,46.3,7.7,,,
,HD 209693 ,,71998,22,4.6,32,56.5,"6.4,11.1",Peg,Sep AB:21,Double Star
,,,72011,22,5.2,39,40.8,7.5,,,
,,,72016,22,5.6,36,23.1,7.6,,,
,HD 210073 ,,72039,22,7.0,34,31.2,"7.2,12.1",Peg,Sep AB:22,Double Star
,HD 210087 ,,72040,22,7.0,36,5.6,"7.8,9.7,11.3",Lac,"Sep AB:1.1, Sep AC:8",Double Star
,,,72041,22,7.1,30,19.1,7.2,,,
,,,72055,22,8.5,39,22.3,7.5,,,
,HD 210354 27 Peg,,72064,22,9.2,33,10.4,"5.6,11.9,11.2",Peg,"Sep AB:27, Sep AC:70",Double Star
,,,72067,22,9.4,35,7.8,7.5,,,
,,,72077,22,10.0,33,10.7,4.4,,,
,,,72083,22,10.1,35,12.9,6.8,,,
,,,72084,22,10.3,32,17.3,7.1,,,
,,,72095,22,10.8,30,33.2,6.4,,,
,,,72103,22,11.2,36,15.6,7.3,,,
,,,72106,22,11.3,40,10.1,7.7,,,
,,,72107,22,11.4,39,42.7,7.4,,,
,,,72108,22,11.5,32,5.2,7.7,,,
,,,72115,22,11.7,38,25.0,7.3,,,
,HD 210772 ,,72119,22,12.0,37,39.1,"8,9.8",Lac,Sep AB:12,Double Star
,,,72132,22,12.8,34,36.3,5.4,,,
